List of Philanthropic Organisations Supporting Australian Military Veterans,,,,
Australian War Animal Memorial Organisation (AWAMO),"Postal: PO Box 427, Jimboomba QLD 4280",0415 980 804,awamo.org.au,Update (phone differs). Awamo
The Oasis Townsville,"1 Staging Camp Ave, Oonoonba QLD 4811",(07) 4412 8144,theoasistownsville.org.au,Update (not Anzac Ave; suburb is Oonoonba). The Oasis Townsville
Veterans 360 Australia (V360A),"Postal: PO Box 194, Dianella WA 6059",1800 838 360,v360.org.au,Update + note: WA-based; organisation indicates its website/service will wind down by Dec 2025. OpenGovAU+1
https://www.youngdiggers.com.au/,,,,
Name,Address,Telephone,Email,
Albury Legacy,"PO Box 207, Albury NSW 2640",02 6021 2407,info@alburylegacy.com.au,
Ararat Legacy,"18 Gordon St, PO Box 78, Ararat VIC 3377",(03) 5352 9072 / 0419 316 920,araratlegacy@gmail.com,
Armidale Legacy,"Legacy House, 89 Faulkner Street, Armidale NSW 2350",02 6772 4427,armidale@legacyclubservices.org.au,
Ballarat Legacy,"Legacy House, 5 Raglan Street South, Ballarat VIC 3350",(03) 5331 3242,office@ballaratlegacy.org.au,
Bendigo Legacy,"161 Lily Street, Bendigo VIC 3550",(03) 5443 6332,legacy@benleg.com.au,
Brisbane Legacy,"41 Merivale Street, South Brisbane QLD 4101",(07) 3029 5600,admin@legacybrisbane.org.au,
Bundaberg Legacy,"11 Williams Road, Bundaberg QLD 4670",(07) 4152 5958 / 0418 452 059,secretary@bundaberglegacy.com.au,
Canberra Legacy,"33 Geils Court, Deakin ACT 2600",02 6285 1800,executive@canberralegacy.com.au,
Central Coast NSW Legacy,"Legacy Village, 51-57 Masons Parade, Point Frederick NSW 2250",(02) 4323 4977,legacy@cclegacy.com.au,
Coffs Coast Legacy,"55 Victoria Street, Coffs Harbour NSW 2450",1300 LEGACY (534 229),welfare@coffslegacy.com.au,
Colac Legacy,"45 Gellibrand Street, Colac VIC 3250",(03) 5231 4500,admin@colaclegacy.com.au,
Far North Coast Legacy,"Legacy Lodge, 3/36 McKenzie Street, Lismore NSW 2480",02 6622 8113,FNC@legacyclubservices.org.au,
Far North Queensland Legacy,"20/5 Upward Street, Cairns QLD 4870",(07) 4033 0344,admin@fnqlegacy.org.au,
Geelong Legacy,"Suite 5, 75-77 Roslyn Road, Belmont Geelong VIC 3216",03 5229 5702,legacyglg@gmail.com,
Gold Coast Legacy,"188 Sunshine Blvd, Mermaid Waters QLD 4218",(07) 5500 6833,admin@goldcoastlegacy.com.au,
Goulburn Legacy,"Goulburn Soldiers Club, lower level, 15 Market Street, Goulburn NSW 2580",02 4821 2451,goulburnlegacy2@bigpond.com,
Grafton Legacy,"139 Fitzroy Street, Grafton NSW 2460",(02) 6642 2669,graftonlegacy@gmail.com,
Hamilton & District Legacy,"69 Kennedy Street, Hamilton VIC 3300",(03) 5571 1899,Legacy@legacyhamilton.com.au,
Hobart Legacy,"159 Macquarie Street, Hobart TAS 7000",(03) 6234 6581,admin@legacyhobart.com.au,
Hunter Legacy,"225 Newcastle Road, East Maitland NSW 2323",(02) 4933 6787,legacy@hunterlegacy.com.au,
Inverell Legacy,"Rear Flanders House, Oliver Lane, Inverell NSW 2360",(02) 6722 1945,inverell.legacy@gmail.com,
Ipswich Legacy,"105 Brisbane Road, Booval QLD 4304",(07) 3281 9419,admin@ipswichlegacy.org.au,
Lachlan Legacy,"PO Box 747, Cowra NSW 2794",0458 878 229,Lachlan@legacyclubservices.org.au,
Launceston Legacy,"59 York Street, Launceston TAS 7250",(03) 6331 9369,admin@legacylaunceston.com.au,
Legacy Foundation,"Locked Bag 8, Queen Victoria Building, Sydney NSW 1230",(02) 9248 9009,legacyfoundation@legacyclubservices.org.au,
Legacy WA,"Legacy House, 1130 Hay Street, West Perth WA 6005",(08) 9486 4900,reception@legacywa.com.au,
London Legacy,"c/- Defence Branch, Australia High Commission, Australia House, Strand, London WC2B 4LA",44 (0) 7976 739 001,info@londonlegacy.org,
Mackay Legacy,"94 Nebo Road, West Mackay QLD 4740",(07) 4953 3676,mackay.legacy@gmail.com,
Melbourne Legacy,"293 Swanston St, Melbourne VIC 3000",(03) 8626 0500,csv@legacymelb.com.au,
Mildura Legacy,"PO Box 283, Mildura VIC 3502",0422 224 110,milduralegacy@hotmail.com,
Mornington Peninsula Legacy,"1283 Nepean Highway, Mt Eliza VIC 3930",(03) 9708 8201,legacy@mplegacy.com.au,
Newcastle Legacy,"17A Denney Street, Broadmeadow NSW 2292",(02) 4968 9501,newcastle@legacyclubservices.org.au,
Northern Queensland Legacy,"135 Charters Towers Road, Hermit Park QLD 4812",(07) 4772 7533,admin@nqlegacy.com.au,
Northern Territory Legacy,"11 Nemarluk Drive, Ludmilla NT 0820","0457 267 200, (08) 8948 0830 (office)",legacy@legacynt.org,
Orange Legacy,"Legacy House, 58 McNamara Street, Orange NSW 2800",(02) 6362 1205,admin@orangelegacy.com.au,
Port Macquarie Hastings Legacy,"Suite 3, Bourne House, 10-12 Short Street, Port Macquarie NSW 2444",(02) 6583 3570,admin@pmlegacy.com.au,
Queanbeyan Eden Monaro Legacy,"Unit 10, 25-39 Bungendore Rd, Queanbeyan NSW 2620",(02) 6297 0652,q.legacy@bigpond.com,
Shepparton Legacy,"20 Edward Street, Shepparton VIC 3630",(03) 5821 5525,shepleg@bigpond.com,
South Australia and Broken Hill Legacy,"Torrens Parade Ground, 1 Victoria Drive, Adelaide SA 5000",(08) 8231 9812,reception@legacysa.org.au,
Sydney Legacy,"Locked Bag 8, Queen Victoria Building, Sydney NSW 1230",(02) 9248 9000,reception@legacyclubservices.org.au,
Tamworth Legacy,"Suite 10 Level 2, 454-456 Peel Street, Tamworth NSW 2340",(02) 6766 4372,tamworth@legacyclubservices.org.au,
Taree Legacy,"Legacy Village, 9 Gill Avenue, Taree NSW 2430",(02) 6552 2385,admin@tareelegacy.com.au,
Toowoomba Legacy,"Shop 10/100 Hill Street, Newtown QLD 4350",(07) 4632 2352,toowoomba.legacy@bigpond.com,
Wagga Wagga Legacy,"64 Tompson St, Wagga Wagga NSW 2650",(02) 6921 3452,admin@waggalegacy.com.au,
Warrnambool Legacy,"54 Banyan Street, Warrnambool VIC 3280",0487 253 001,admin@warrnamboollegacy.com.au,
Wollongong and South Coast Legacy,"Legacy House, 96 Market Street, Wollongong NSW 2500",(02) 4229 1821,admin@legacywollongong.com.au,
,,,,
The Families of Veterans Guild,familiesofveterans.org.au,(02) 9267 6577,familiesofveterans.org.au,
LifeUnleashed (formerly Integra Service Dogs),https://lifeunleashed.org.au/,,,
Remount,https://remount.org.au/,,,
Pegasus,https://pegasusholistichealing.com.au/,,,
Wounded Heroes,https://www.woundedheroes.org.au/,,,
Certa Cito Foundation,https://www.certacitofoundation.org.au/,,,
Veteran Medical,https://veteranmedical.com.au/,(08) 6119 9126,,
Veterans Care Association,"2 Victoria Park Rd, Kelvin Grove QLD",,support@veteranscare.com.au,
https://www.dva.gov.au/get-support/financial-support/compensation-claims/laws-cover-claims/drca,,,,
https://www.dva.gov.au/get-support/financial-support/payment-rates/compensation-payment-rates-drca-and-defence-act,,,,
https://clik.dva.gov.au/compensation-and-support-reference-library/payment-rates/current-payment-rates/1-january-2023/drca-and-defence-act-payments-1-january-2023,,,,
https://clik.dva.gov.au/military-compensation-mrca-manuals-and-resources-library/policy-manual/ch-5-permanent-impairment/511-converting-weekly-amounts-lump-sum/5112-calculation-lump-sum-payment,,,,
https://clik.dva.gov.au/military-compensation-srca-manuals-and-resources-library/permanent-impairment-handbook/ch-9-1930-act/91-table-injuries/918-hearing-impairments,,,,
,,,,
https://ausveterans.com.au/ausveterans-faqs/,,,,
https://www.veteransfirstconsulting.com/blog/average-dva-payout-for-tinnitus,,,,
