Medical Field,Name,Street Address,State,Post Code,Phone,Email,White Card,Gold Card,Notes,,,,
General Practice (Veterans Health),Corrie Street Medical Clinic – Chermside (Brisbane),8 Corrie Street (Chermside),QLD,4032,(07) 3350 1625,info@corriestmedicalclinic.com.au,Yes,Yes,GP clinic focused on ADF veterans’ healthcare; provides transition support and assists with DVA claims and permanent impairment assessments​corriestmedicalclinic.com.au.,,,,
General Practice & Allied Health,GO2 Health (REFORGE Program) – Everton Park (Brisbane),455 South Pine Road (Everton Park),QLD,4053,(07) 3355 5540,ask@go2health.com.au,Yes,Yes,Large multidisciplinary clinic with dedicated veteran program; experienced in DVA claims assistance and post-ADF health checks (incl. comprehensive assessments)​go2health.com.au​go2health.com.au.,,,,
General Practice (Men’s Health & DVA),Med For Men Clinic (Dr Sam Robinson) – Ashgrove (Brisbane),75 Wardell Street (Ashgrove),QLD,4060,(07) 3063 0695,admin@medformen.com.au,Yes,Yes,GP clinic near Gallipoli Barracks; Dr. Sam Robinson completes DVA-requested diagnostic medical assessments and Permanent Impairment reports for claims​medformen.com.au​medformen.com.au.,,,,
General Practice (Veterans Health),Australian Veteran Health Services – Springfield Central,"Suite 603, 2 Wellness Way (Springfield)",QLD,4300,1300 766 206,contact@avhs.com.au,Yes,Yes,"Veterans’ health clinic providing ADF transition medicals, permanent impairment evaluations, and help with DVA paperwork and forms​avhs.com.au.",,,,
General Practice (Veterans Health),Veterans Health Centre (Dr. Tom Perkins) – Ipswich,77 East Street (East St Specialist Ctr),QLD,4305,0429 146 039,reception@vhc.org.au,Yes,Yes,"Ex-ADF doctor-led clinic; completes all DVA-required medical assessments, reports and claim submissions for transitioning veterans​vhc.org.au​vhc.org.au.",,,,
General Practice (Bulk Billing),Townsville GP Superclinic – Hyde Park (Townsville),87 Charters Towers Road (Hyde Park),QLD,4812,(07) 4753 0888,admin@townsvillegpsuperclinic.com.au,Yes,Yes,Bulk-billing medical centre experienced with veteran care; conducts DVA-funded health assessments and detailed GP care plans for Gold Card veterans (e.g. quarterly reviews)​townsvillegpsuperclinic.com.au​townsvillegpsuperclinic.com.au.,,,,
General Practice (Veterans Health),Australian Veteran Health Services – Daw Park (Adelaide),"Bldg 37, 216 Daws Road (Repat Precinct)",SA,5041,1300 766 206,contact@avhs.com.au,Yes,Yes,"Clinic located in the Veteran Wellbeing Centre; offers transition medicals, permanent impairment assessments, and DVA paperwork assistance for veterans​avhs.com.au​avhs.com.au.",,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Adelaide (Telehealth),Telehealth Service,SA,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Provides comprehensive psychiatric evaluations and expert reports to support veteran DVA claims in SA (mental health and impairment)​therosemarycentre.com.au​therosemarycentre.com.au.,,,,
Multidisciplinary DVA Clinic,Veteran Medical – Adelaide (CBD),91 King William Street (CBD),SA,5000,0861 199 126,admin@veteranmedical.com.au,Yes,Yes,Specialist veteran clinic (telehealth with local office); guides veterans through DVA claims and conducts in-person range-of-movement assessments for impairment reports​veteranmedical.com.au​veteranmedical.com.au.,,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Hobart (Telehealth),Telehealth Service,TAS,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Mental health support for Tasmanian veterans’ DVA claims via telehealth – provides needed medical reports and assessments for DVA mental health claims​therosemarycentre.com.au.,,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Melbourne (Telehealth),Telehealth Service,VIC,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Offers expert psychiatric assessments and documentation for Melbourne veterans to support DVA claim submissions (incl. permanent impairment and mental health claims)​therosemarycentre.com.au​therosemarycentre.com.au.,,,,
Multidisciplinary DVA Clinic,Veteran Medical – Melbourne (Boronia),108 Boronia Road (Boronia),VIC,3155,0861 199 126,admin@veteranmedical.com.au,Yes,Yes,Veteran-focused medical service (telehealth with Boronia office); assists with DVA claims process and provides face-to-face Permanent Impairment examinations and reports​veteranmedical.com.au​veteranmedical.com.au.,,,,
Psychiatry (Veterans Mental Health),The Rosemary Centre – Perth (Telehealth),Telehealth Service,WA,N/A,1300 871 228,admin@therosemarycentre.com.au,Yes,Yes,Supports WA veterans with DVA claim-related psychiatric evaluations – delivers expert medical reports for mental health and impairment claims in Perth​therosemarycentre.com.au.,,,,
General Practice (Veterans Health),Dr. Cameron (Rich) Evans – Holt Medical Centre,"Holt Shopping Centre, Holt Place, Holt",ACT,2615,(02) 6254 3323,https://holtmedicalcentre.com/,Yes,Yes,"Dr. Evans has extensive experience supporting veterans with DVA claims, including medical impairment assessments, permanent impairment evaluations, D904 referrals, and ongoing care for DVA-recognised conditions. He also provides care for ADF families through the National ADF Family Health Program.",,,,
General Practice,Curtin Medical Practice (Dr. Patterson),"Curtin Shops, Curtin ACT",ACT,2605,02 6281 4922,reception@curtinmedical.com.au,Likely,Likely,General support; no veteran-specific program,,,,
General Practice,Next Practice Health (Deakin),Deakin ACT,ACT,2600,02 5119 3898,deakin@nextpracticehealth.com,No,Yes,Bulk-bills Gold Card holders,,,,
General Practice,Barton General Practice (Dr. Iain Anderson),"3 Sydney Ave, Barton ACT",ACT,2600,02 5100 8300,admin@bartongp.com.au,Conditionally,Yes,Veteran-friendly billing; some DVA familiarity,,,,
General Practice,Manuka Medical Centre,"Manuka, Canberra ACT",ACT,2603,02 6295 6733,admin@manukamedicalcentre.com.au,Likely,Likely,Familiar with DVA claims; general care,,,,
General Practice,"Ochre Medical Centre - Kingston (Dr. Danielle Walker, Lisa Lloyd)",Kingston ACT,ACT,2604,02 6169 3988,kingston@ochrehealth.com.au,Likely,Yes,Good for mental health and chronic disease,,,,
General Practice,Watson General Practice (Dr. Palfreman),Watson ACT,ACT,2602,02 6253 2033,admin@watsongp.com.au,Likely,Yes,Chronic pain management experience,,,,
General Practice,Waramanga Medical Centre (Dr. Chris Ayres),"Waramanga Shops, Waramanga ACT",ACT,2611,02 6288 1855,admin@waramangamedicalcentre.com.au,Yes,Yes,Known for DVA claims expertise (Dr. Turton),,,,
General Practice,Fisher Family Practice,"Fisher Shops, Fisher ACT",ACT,2611,02 6288 8600,admin@fisherfamilypractice.com.au,Yes,Yes,Welcomes DVA patients; handles claims,,,,
General Practice,Belconnen Mall Medical Centre (Dr. Jonathan Lolljee),"Westfield Belconnen, Belconnen ACT",ACT,2617,02 6251 8898,reception@belconnengp.com.au,Yes,Yes,Supports chronic pain and DVA bulk-billing,,,,
General Practice,Lakeview Medical Centre (Claire Perkins),"Greenway, Tuggeranong ACT",ACT,2900,02 6293 2700,admin@lakeviewmedical.com.au,Likely,Likely,Thorough care for veterans,,,,
General Practice,Weston Creek Medical Practice (Dr. Sangeetha Mohanadas),Weston Creek ACT,ACT,2611,02 6205 1751,info@westoncreekmedicalpractice.com.au,Likely,Yes,Pain management specialty,,,,
General Practice,Gungahlin Family Healthcare Centre,Gungahlin ACT,ACT,2912,02 6242 7272,admin@gungahlinhealthcare.com.au,Likely,Yes,Open Arms veteran counselling support on-site,,,,
General Practice,Cooleman Court Medical Centre,"Cooleman Court, Weston ACT",ACT,2611,02 6205 3499,info@coolemancourtmedicalcentre.com.au,Unknown,Yes,Bulk-bills Gold Card holders,,,,
General Practice,Yarralumla Surgery,Yarralumla ACT,ACT,2600,02 6282 6899,admin@yarralumlasurgery.com.au,Likely,Likely,"Standard GP care, no veteran-specific program",,,,
General Practice,Deakin Medical Centre,Deakin ACT,ACT,2600,02 6282 2333,reception@deakinmedical.com.au,Likely,Likely,"General practice, no specific veteran services",,,,
General Practice,Annie Lim Family Practice,Deakin ACT,ACT,2600,02 6162 0970,reception@annielimfamilypractice.com.au,Unlikely,Private Billing,"Private billing, not DVA focused",,,,
General Practice,Canberra Family Health Centre,Deakin ACT,ACT,2600,02 5123 7000,info@canberrafamilyhealth.com.au,Likely,Likely,"Comprehensive care, no veteran program",,,,
General Practice,Morris Wellness,Kingston ACT,ACT,2604,02 6109 0000,info@morriswellness.com.au,No,No,"Lifestyle medicine focus, not veteran specific",,,,
General Practice,YourGP (Crace),Crace ACT,ACT,2911,02 6109 9320,crace@yourgp.net.au,No,Yes,Stopped bulk billing White Cards in 2023,,,,
General Practice,Garema Place Surgery,"Civic, Canberra ACT",ACT,2601,02 6248 8080,reception@garemaplacesurgery.com.au,Likely,Likely,"Good general practice, no specific veteran focus",,,,
General Practice,North Canberra Family Practice,Belconnen ACT,ACT,2617,02 6251 8898,admin@northcanberrafamilypractice.com.au,Likely,Likely,"Standard care, no veteran program",,,,
General Practice,City Family Practice (Dr. Ahern),"Civic, Canberra ACT",ACT,2601,02 6247 5833,reception@cityfamilypractice.com.au,Likely,Likely,Experienced with compensation and chronic injuries,,,,
General Practice,Dr. Cousins (Barton),Barton ACT,ACT,2600,02 5100 8300,admin@bartongp.com.au,Unknown,Likely,"Highly recommended GP, expensive",,,,
General Practice,Hughes Family Practice,Hughes ACT,ACT,2605,02 6281 0600,admin@hughesfamilypractice.com.au,Likely,Likely,"General care, no veteran program",,,,
General Practice,Dr. Don at Kambah,Kambah ACT,ACT,2902,02 6296 4195,admin@kambahmedical.com.au,Likely,Likely,"Community GP, no veteran program",,,,
General Practice,Next Practice East Perth,"L3-20, 99 Adelaide Terrace, East Perth",WA,6004,(08) 6118 7899,eastperth@nextpracticehealth.com,Yes,Yes,Bulk billing for DVA Gold Card holders; services include general medicine,,,chronic disease management,and mental health. :contentReference[oaicite:1]{index=1}
DVA Claims Support,Veteran Medical,"140 St Georges Terrace, Perth",WA,6000,N/A,admin@veteranmedical.com.au,Yes,Yes,Specialises in assisting veterans with DVA claims and medical support; face-to-face clinics for Permanent Impairment reports. :contentReference[oaicite:2]{index=2},,,,
Veteran Health Services,Veterans Health Centre (VHC),Perth,WA,6000,N/A,N/A,Yes,Yes,Provides comprehensive DVA claims support and health services tailored for veterans. :contentReference[oaicite:3]{index=3},,,,
Medical Assessments,The Rosemary Centre,"Level 28, 140 St Georges Terrace, Perth",WA,6000,1300 871 228,N/A,Yes,Yes,Offers expert medical assessments and reports to support DVA mental health claims. :contentReference[oaicite:4]{index=4},,,,
Physiotherapy,Trained Physio and Fitness,"108 Brown Street, East Perth",WA,6004,(08) 9325 7602,hello@trainedphysioperth.com.au,Yes,Yes,Registered DVA physiotherapy provider experienced in serving the veteran community. :contentReference[oaicite:5]{index=5},,,,
